run_id,model,segment,curve,alpha,epsilon_smooth,epsilon_bound,kappa,n_triples,satisfied,violation_ratio
20251217_184957,autumn,HMB_4,Mixed-stream,0.5,0.01,0.02,0.6,1972,1478,0.25050709939148075
20251217_184957,autumn,HMB_4,Mixed-stream,0.5,0.01,0.02,0.7,1972,1507,0.2358012170385395
20251217_184957,autumn,HMB_4,Mixed-stream,0.5,0.01,0.02,0.8,1972,1543,0.21754563894523327
20251217_184957,autumn,HMB_4,Mixed-stream,0.5,0.01,0.02,0.9,1972,1565,0.20638945233265715
20251217_184957,autumn,HMB_4,Mixed-stream,0.5,0.01,0.02,1.0,1972,1582,0.19776876267748478
20251217_184957,autumn,HMB_4,Mixed-stream,0.5,0.01,0.02,1.1,1972,1598,0.18965517241379315
20251217_184957,autumn,HMB_4,Mixed-stream,0.5,0.01,0.02,1.2,1972,1612,0.1825557809330629
20251217_184957,autumn,HMB_4,Mixed-stream,0.5,0.01,0.02,1.3,1972,1624,0.17647058823529416
20251217_184957,autumn,HMB_4,Mixed-stream,0.5,0.01,0.02,1.4,1972,1631,0.17292089249492903
20251217_184957,autumn,HMB_4,Mixed-stream,0.5,0.01,0.02,1.5,1972,1634,0.1713995943204868
20251217_184957,autumn,HMB_4,Mixed-stream,0.5,0.01,0.02,1.6,1972,1638,0.1693711967545639
20251217_184957,autumn,HMB_4,Mixed-stream,0.5,0.01,0.02,1.7,1972,1644,0.16632860040567954
20251217_184957,autumn,HMB_4,Mixed-stream,0.5,0.01,0.02,1.8,1972,1647,0.1648073022312373
20251217_184957,autumn,HMB_4,Mixed-stream,0.5,0.01,0.02,1.9,1972,1651,0.16277890466531442
20251217_184957,autumn,HMB_4,Mixed-stream,0.5,0.01,0.02,2.0,1972,1653,0.16176470588235292
20251217_184957,autumn,HMB_4,Inserted-only,0.5,0.01,0.02,0.0,1972,1726,0.12474645030425968
20251217_184957,autumn,HMB_4,Inserted-only,0.5,0.01,0.02,0.1,1972,1770,0.10243407707910746
20251217_184957,autumn,HMB_4,Inserted-only,0.5,0.01,0.02,0.2,1972,1803,0.08569979716024345
20251217_184957,autumn,HMB_4,Inserted-only,0.5,0.01,0.02,0.3,1972,1836,0.06896551724137934
20251217_184957,autumn,HMB_4,Inserted-only,0.5,0.01,0.02,0.4,1972,1852,0.0608519269776876
20251217_184957,autumn,HMB_4,Inserted-only,0.5,0.01,0.02,0.5,1972,1865,0.0542596348884381
20251217_184957,autumn,HMB_4,Inserted-only,0.5,0.01,0.02,0.6,1972,1880,0.04665314401622722
20251217_184957,autumn,HMB_4,Inserted-only,0.5,0.01,0.02,0.7,1972,1887,0.0431034482758621
20251217_184957,autumn,HMB_4,Inserted-only,0.5,0.01,0.02,0.8,1972,1895,0.03904665314401623
20251217_184957,autumn,HMB_4,Inserted-only,0.5,0.01,0.02,0.9,1972,1901,0.036004056795131856
20251217_184957,autumn,HMB_4,Inserted-only,0.5,0.01,0.02,1.0,1972,1908,0.032454361054766734
20251217_184957,autumn,HMB_4,Inserted-only,0.5,0.01,0.02,1.1,1972,1912,0.030425963488843855
20251217_184957,autumn,HMB_4,Inserted-only,0.5,0.01,0.02,1.2,1972,1915,0.028904665314401612
20251217_184957,autumn,HMB_4,Inserted-only,0.5,0.01,0.02,1.3,1972,1917,0.027890466531440117
20251217_184957,autumn,HMB_4,Inserted-only,0.5,0.01,0.02,1.4,1972,1919,0.026876267748478733
20251217_184957,autumn,HMB_4,Inserted-only,0.5,0.01,0.02,1.5,1972,1922,0.02535496957403649
20251217_184957,autumn,HMB_4,Inserted-only,0.5,0.01,0.02,1.6,1972,1926,0.02332657200811361
20251217_184957,autumn,HMB_4,Inserted-only,0.5,0.01,0.02,1.7,1972,1927,0.022819472616632863
20251217_184957,autumn,HMB_4,Inserted-only,0.5,0.01,0.02,1.8,1972,1927,0.022819472616632863
